Date,Ward Code,Area,Latitude,Longitude,Nearest Station,Elevation,Land Use Classes,Population,Road Density_m,Distance_to_water_m,Soil Type,Built_up%,True_nearest_distance_m,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall_Days_Count,Rainfall_Hours
2025-08-24,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,10.6,1.2,1,21.0
2025-08-25,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,19.9,1.3,1,23.0
2025-08-26,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,30.0,2.2,1,24.0
2025-08-27,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,30.4,2.4,1,24.0
2025-08-28,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,46.8,3.5,1,24.0
2025-08-29,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,16.5,1.0,1,24.0
2025-08-30,Ward A,Metro Cinema Subway,18.9445,72.8279,Arabian Sea ,12.0,"commercial, transport",185000,31.67,10,Urban,90.0,2022.25,14.4,0.7,1,24.0
2025-08-24,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,10.6,1.2,1,21.0
2025-08-25,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,19.9,1.3,1,23.0
2025-08-26,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,30.0,2.2,1,24.0
2025-08-27,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,30.4,2.4,1,24.0
2025-08-28,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,46.8,3.5,1,24.0
2025-08-29,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,16.5,1.0,1,24.0
2025-08-30,Ward B,Dongri Circle,18.9594,72.8376,Arabian Sea ,19.0,"residential, commercial, religious",195000,48.94,7,Urban,90.0,2022.4,14.4,0.7,1,24.0
2025-08-24,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,10.6,1.2,1,21.0
2025-08-25,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,19.9,1.3,1,23.0
2025-08-26,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,30.0,2.2,1,24.0
2025-08-27,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,30.4,2.4,1,24.0
2025-08-28,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,46.8,3.5,1,24.0
2025-08-29,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,16.5,1.0,1,24.0
2025-08-30,Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,Arabian Sea ,6.0,"transport, commercial, mixed_use",195000,7.61,17,Urban,90.0,1689.21,14.4,0.7,1,24.0
2025-08-24,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,10.6,1.2,1,21.0
2025-08-25,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,19.9,1.3,1,23.0
2025-08-26,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,30.0,2.2,1,24.0
2025-08-27,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,30.4,2.4,1,24.0
2025-08-28,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,46.8,3.5,1,24.0
2025-08-29,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,16.5,1.0,1,24.0
2025-08-30,Ward B,Carnac Bunder underpass,18.9519,72.8356,Arabian Sea ,16.0,"transport, residential, commercial",195000,38.77,7,Sandy,90.0,1618.19,14.4,0.7,1,24.0
2025-08-24,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,10.6,1.2,1,21.0
2025-08-25,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,19.9,1.3,1,23.0
2025-08-26,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,30.0,2.2,1,24.0
2025-08-27,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,30.4,2.4,1,24.0
2025-08-28,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,46.8,3.5,1,24.0
2025-08-29,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,16.5,1.0,1,24.0
2025-08-30,Ward C,Marine Lines Subway,18.9458,72.8238,Arabian Sea ,16.0,"transport, mixed_use",190000,30.29,5,Urban,90.0,2265.59,14.4,0.7,1,24.0
2025-08-24,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,10.6,1.2,1,21.0
2025-08-25,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,19.9,1.3,1,23.0
2025-08-26,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,30.0,2.2,1,24.0
2025-08-27,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,30.4,2.4,1,24.0
2025-08-28,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,46.8,3.5,1,24.0
2025-08-29,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,16.5,1.0,1,24.0
2025-08-30,Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Arabian Sea ,11.0,"transport, education, mixed_use",190000,23.89,11,Urban,90.0,1330.99,14.4,0.7,1,24.0
2025-08-24,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,10.6,1.2,1,21.0
2025-08-25,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,19.9,1.3,1,23.0
2025-08-26,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,30.0,2.2,1,24.0
2025-08-27,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,30.4,2.4,1,24.0
2025-08-28,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,46.8,3.5,1,24.0
2025-08-29,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,16.5,1.0,1,24.0
2025-08-30,C,Bhuleshwar,19.07657952,72.84501224,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,14.4,0.7,1,24.0
2025-08-24,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,10.6,1.2,1,21.0
2025-08-25,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,19.9,1.3,1,23.0
2025-08-26,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,30.0,2.2,1,24.0
2025-08-27,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,30.4,2.4,1,24.0
2025-08-28,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,46.8,3.5,1,24.0
2025-08-29,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,16.5,1.0,1,24.0
2025-08-30,Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,Arabian Sea ,16.0,"commercial, residential, mixed_use",190000,33.49,16,Urban,90.0,2274.63,14.4,0.7,1,24.0
2025-08-24,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,10.6,1.2,1,21.0
2025-08-25,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,19.9,1.3,1,23.0
2025-08-26,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,30.0,2.2,1,24.0
2025-08-27,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,30.4,2.4,1,24.0
2025-08-28,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,46.8,3.5,1,24.0
2025-08-29,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,16.5,1.0,1,24.0
2025-08-30,Ward E,Nair Hospital Junction,18.9713,72.8255,Wadala Nalla,8.0,"hospital/institutional, mixed_use",420000,31.93,13,Urban,90.0,1179.12,14.4,0.7,1,24.0
2025-08-24,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,10.6,1.2,1,21.0
2025-08-25,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,19.9,1.3,1,23.0
2025-08-26,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,30.0,2.2,1,24.0
2025-08-27,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,30.4,2.4,1,24.0
2025-08-28,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,46.8,3.5,1,24.0
2025-08-29,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,16.5,1.0,1,24.0
2025-08-30,E,Byculla,19.2940447,72.72749992,Arabian Sea,10.48046154,commercial,420000,3.644874745,3246,Clay,62.42979292,5051.0,14.4,0.7,1,24.0
2025-08-24,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,10.6,1.2,1,21.0
2025-08-25,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,19.9,1.3,1,23.0
2025-08-26,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,30.0,2.2,1,24.0
2025-08-27,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,30.4,2.4,1,24.0
2025-08-28,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,46.8,3.5,1,24.0
2025-08-29,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,16.5,1.0,1,24.0
2025-08-30,Ward E,Saat Rasta Junction,18.9754,72.8226,Wadala Nalla,5.0,"commercial, recreation_ground, mixed_use",420000,30.38,6,Urban,90.0,1072.41,14.4,0.7,1,24.0
2025-08-24,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,10.6,1.2,1,21.0
2025-08-25,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,19.9,1.3,1,23.0
2025-08-26,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,30.0,2.2,1,24.0
2025-08-27,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,30.4,2.4,1,24.0
2025-08-28,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,46.8,3.5,1,24.0
2025-08-29,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,16.5,1.0,1,24.0
2025-08-30,E,Madanpura,18.94561466,72.94225348,Mahalaxmi Nallah/Arabian Sea,6.631398762,commercial,420000,3.579240831,4430,Clay,54.4523037,2609.0,14.4,0.7,1,24.0
2025-08-24,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,10.6,1.2,1,21.0
2025-08-25,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,19.9,1.3,1,23.0
2025-08-26,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,30.0,2.2,1,24.0
2025-08-27,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,30.4,2.4,1,24.0
2025-08-28,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,46.8,3.5,1,24.0
2025-08-29,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,16.5,1.0,1,24.0
2025-08-30,Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,Wadala Nalla,8.0,"transport, industrial, commercial",420000,24.65,9,Urban,90.0,2486.33,14.4,0.7,1,24.0
2025-08-24,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,10.6,1.2,1,21.0
2025-08-25,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,19.9,1.3,1,23.0
2025-08-26,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,30.0,2.2,1,24.0
2025-08-27,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,30.4,2.4,1,24.0
2025-08-28,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,46.8,3.5,1,24.0
2025-08-29,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,16.5,1.0,1,24.0
2025-08-30,Ward F/N,King's Circle,19.0272,72.8559,Wadala Nalla,10.0,"recreation_ground, residential, mixed_use",530000,22.41,7,Urban,90.0,425.8,14.4,0.7,1,24.0
2025-08-24,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,10.6,1.2,1,21.0
2025-08-25,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,19.9,1.3,1,23.0
2025-08-26,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,30.0,2.2,1,24.0
2025-08-27,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,30.4,2.4,1,24.0
2025-08-28,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,46.8,3.5,1,24.0
2025-08-29,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,16.5,1.0,1,24.0
2025-08-30,Ward F/N,Sion Circle,19.0373,72.8555,Wadala Nalla,8.0,"transport, commercial, mixed_use",530000,24.29,18,Urban,90.0,513.27,14.4,0.7,1,24.0
2025-08-24,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,10.6,1.2,1,21.0
2025-08-25,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,19.9,1.3,1,23.0
2025-08-26,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,30.0,2.2,1,24.0
2025-08-27,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,30.4,2.4,1,24.0
2025-08-28,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,46.8,3.5,1,24.0
2025-08-29,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,16.5,1.0,1,24.0
2025-08-30,Ward F/N,Gandhi Market Junction,19.0337,72.8512,Wadala Nalla,9.0,"commercial, residential",530000,14.81,8,Urban,90.0,1092.59,14.4,0.7,1,24.0
2025-08-24,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,7.7,0.7,1,22.0
2025-08-25,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,17.6,1.4,1,23.0
2025-08-26,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,22.4,1.9,1,24.0
2025-08-27,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,21.6,2.3,1,24.0
2025-08-28,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,33.0,2.6,1,24.0
2025-08-29,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,9.3,0.5,1,24.0
2025-08-30,F/N,Matunga,19.11092885,72.98558095,Mahim Creek,8.049331941,residential,530000,4.711813057,1277,Clay,56.44494497,3717.0,8.1,0.4,1,24.0
